flag_calib,flag_drop,flag_separation,flag_fin,top_lat,bottom_lat,top_lon,bottom_lon,top_hMSL,bottom_hMSL,top_altbaro,bottom_altbaro,top_gyrx,bottom_gyrx,top_gyry,bottom_gyry,top_gyrz,bottom_gyrz,sat_hRSSI,top_pression,top_temperature,distance_modules,bottom_pression,top_vspeed,bottom_vspeed,timeindex
1,0,0,0,43.2424278,43.2424126,-0.0393486,-0.0393186,443.6,413.3,1.31,0.59,181.0,21.0,360.0,-33.0,620.0,6.0,0.3,97237.8,37.5,3.6,97217.8,0.1,-0.0,1687
1,0,0,0,43.2424278,43.2424126,-0.0393459,-0.0393186,443.0,413.3,1.38,0.59,40.0,21.0,638.0,-33.0,466.0,6.0,0.3,97237.0,37.2,3.6,97217.8,0.1,-0.0,1688
1,0,0,0,43.2424278,43.2424126,-0.0393499,-0.039318,443.4,413.1,1.47,0.58,-39.0,20.0,502.0,-32.0,451.0,6.0,0.3,97235.9,37.5,3.0,97217.9,0.1,0.0,1689
1,0,0,0,43.2424278,43.2424126,-0.0393502,-0.039318,443.3,413.1,1.47,0.58,-335.0,20.0,497.0,-32.0,-2.0,6.0,0.3,97235.9,37.5,3.0,97217.9,0.1,0.0,1690
1,0,0,0,43.2424316,43.2424126,-0.0393494,-0.039318,443.3,412.9,1.53,0.59,111.0,20.0,89.0,-32.0,231.0,6.0,0.3,97235.2,37.2,2.8,97217.8,0.1,-0.0,1691
1,0,0,0,43.2424278,43.2424126,-0.0393528,-0.0393178,443.5,412.8,1.53,0.61,-147.0,20.0,349.0,-33.0,238.0,6.0,0.3,97235.2,37.5,3.5,97217.6,0.0,0.0,1692
1,0,0,0,43.2424316,43.2424126,-0.0393471,-0.0393178,443.6,412.7,1.54,0.59,-96.0,20.0,136.0,-33.0,-67.0,6.0,0.3,97235.1,37.2,3.5,97217.8,0.0,0.0,1693
1,0,0,0,43.2424316,43.2424126,-0.0393448,-0.0393178,443.2,412.7,1.54,0.59,141.0,20.0,-154.0,-32.0,137.0,6.0,0.3,97235.2,36.6,3.4,97217.8,-0.0,0.0,1694
1,0,0,0,43.2424316,43.2424126,-0.0393448,-0.0393178,443.2,412.7,1.54,0.59,141.0,20.0,-154.0,-32.0,137.0,6.0,0.2,97235.2,36.6,3.4,97217.8,-0.0,0.0,1695
1,0,0,0,43.2424316,43.2424126,-0.0393444,-0.0393176,443.4,412.5,1.52,0.59,82.0,21.0,-44.0,-32.0,46.0,6.0,0.2,97235.4,37.7,2.9,97217.8,-0.0,-0.0,1696
1,0,0,0,43.2424316,43.2424126,-0.0393446,-0.0393176,443.3,412.5,1.52,0.59,14.0,21.0,26.0,-32.0,-30.0,6.0,0.2,97235.4,37.5,2.9,97217.8,-0.0,-0.0,1697
1,0,0,0,43.2424316,43.2424126,-0.0393429,-0.0393171,443.2,412.3,1.52,0.59,6.0,20.0,-53.0,-32.0,-69.0,6.0,0.2,97235.3,37.3,2.9,97217.8,-0.0,0.1,1698
1,0,0,0,43.2424316,43.2424126,-0.0393441,-0.039317,443.4,412.2,1.49,0.58,34.0,20.0,-32.0,-32.0,53.0,6.0,0.3,97235.7,37.2,3.3,97217.9,-0.0,0.0,1699
1,0,0,0,43.2424316,43.2424126,-0.0393449,-0.039317,443.4,412.2,1.49,0.58,13.0,20.0,-92.0,-32.0,27.0,6.0,0.3,97235.7,37.5,3.3,97217.9,-0.0,0.0,1700
